7000,J. & A. Churchill
7002,Intertext Books
7004,Olympia Press
7005,National Foundation for Educational Research
7006,University Press of Kansas
7007,Curzon Press
7010,Chatto & WindusEducational;Hart-DavisEducational
7011,Chatto & Windus
7012,Hogarth Press
7016,Jacaranda Press
7017,University of Newcastle(UK)
7020,Baillière, Tindall
7021,Juta and Co. (South Africa)
7022,University of Queensland Press
7025,Bharatiya Vidya Bhavan(India)
7028,Bartholomew
7043,Quartet
7044,Birmingham University(UK)
7045,Wildwood House
7049,University of Reading; Whiteknights Press
7051,Mitre Press
7054,Time-LifeInternational
7055,Victoria University Press
7057,Elmfield Press
7058,Atomic Energy Research Establishment(AERE)
7061,Oak Tree Press
7062,Ward LockEducational
7063,Ward Lock
7064,Octopus Books
7065,Israel Program for Scientific Translations
7067,Davis-Poynter
7068,Sceptre Press
7069,Vikas Publications (India)
7071,John Gifford
7073,Scottish Academic Press
7076,Stationery Office (Ireland)
7078,National Trust
7079,Newman Books; Hemming Information Services
7081,Australian National UniversityPress
7083,University of Wales Press
7084,Macaulay Institute; Soil Survey of England and Wales
7085,Inner London Education Authority(ILEA)
7087,nferNelson; GL Assessment
7088,Futura Publications
7089,Ulverscroft
7090,Robert Hale
7091,Robert Hale
7092,Paddington Press
7093,Birmingham City Council
7095,British Tourist Authority
7099,Croom Helm
7100,Routledgeand Kegan Paul
7102,Routledgeand Kegan Paul
7103,Kegan Paul International
7106,Jane's Publishing
7108,Harvester Press
7110,Ian Allan
7112,Windward Books
7114,Godwin
7119,Omnibus Press; Wise Publications
7121,Macdonald and Evans
7123,British Library
7126,Century; Century Books
7129,Dawsons of Pall Mall
7130,Woburn Press
7131,Edward Arnold
7134,Batsford
7135,George Bell & Sons
7136,A & C Black
7137,Blandford Press
7138,Bles
7139,Allen Lane
7140,British Publishing
7141,British MuseumPublications
7145,Marion Boyars
7146,Frank Cass
7147,Mir Publishers;Progress Publishers(USSR)
7148,Phaidon Press
7150,Chester House Publications
7151,Church Information Office Publishing
7152,Saint Andrew Press
7153,David & Charles
7154,Christopher Davies
7156,Duckworth
7157,Holmes-McDougall
7158,EP Publishing
7160,Elliot Right Way
7161,Gower Press
7162,Epworth Press
7163,Fabian Society
7164,Faith Press
7165,Irish University Press
7167,W. H. Freeman;Scientific AmericanLibrary
7168,Greater London Council
7171,Gill and Macmillan(Ireland)
7172,Groupe Polygone Editeurs;GrolierBook Club,Scholastic, Early Moments
7175,Hulton Press
7176,Health and Safety Executive(UK)
7178,International Publishers (New York)
7179,Johnston and Bacon
7181,Michael Joseph
7182,Kaye and Ward
7183,William Kimber
7184,Departments of the Environment and Transport: Library (UK)
7185,Leicester University Press
7186,H. K. Lewis
7187,University of London
7188,Lutterworth Press
7189,Luzac
7190,Manchester University Press
7191,Cornmarket Press
7192,Methodist Church: Division of Education and Youth
7194,Castle House Publications
7195,John Murray
7197,National Christian Education Council
7198,Northwood Publications
7199,National Council of Social Service
7200,Amgueddfa Genedlaethol Cymru =National Museum Wales
7201,Mansell
7202,James Nisbet
7204,North-Holland Publishing
7205,Outposts Publications
7206,Peter Owen Publishers
7207,Pelham Books
7208,Pickering & Inglis
7210,Cement and Concrete Association
7211,W. Reeves
7212,Regency Press
7214,Wills & Hepworth
7216,Saunders Publishing
7217,Schofield Sims
7219,Shaw and Sons
7220,Sheedand Ward
7221,Sphere Books
7223,Arthur H. Stockwell
7225,Thorsons Publishing
7226,Kestrel Books
7227,Continua
7228,Zeno
7230,Times Books
7231,University Tutorial Press
7232,Frederick Warne & Co
7234,Wolfe Publishing
7235,World International Publishing
7236,John Wright and Sons
7240,[State of]New South Wales(Australia)
7241,[State of]Victoria(Australia)
7242,Cairns
7243,[State of]South Australia
7245,Northern Territory(Australia)
7248,Prentice-Hallof Australia
7251,Macmillan Companyof Australia
7254,Ure Smith
7256,Hawthorn Press; Aureal Publications
7258,Flinders Universityof South Australia
7259,University of Newcastle, Australia
7263,Summer Institute of Linguistics(New Guinea)
7267,Edward Arnold(Australia)
7273,Pentech Press
7275,Aquila
7277,Thomas Telford Ltd
7278,Severn House
7279,British Medical Association(BMA)
7281,Aims for Freedom and Enterprise
7282,Estates Gazette
7285,White Lion Publishers
7286,University of London:School of Oriental and African Studies(SOAS)
7287,Arts Council of Great Britain
7289,Becket
7291,Open Books
7292,National Economic Development Office(NEDO)
7293,Grant & Cutler
7294,Voltaire Foundation
7295,Holt, Rinehart and Winston(Australia);Harcourt Brace Jovanovich(Australia); Saunders/Baillière Tindall (Australia)
7299,Pitman Publishing(Australia)
7300,Deakin University
7301,Reed International(Australia)
7305,DSP Resource Productions (Disadvantaged Schools' Programme)
7308,South Australian Sports Institute
7313,Art Gallery of New South Wales
7315,Australian National University
7317,Department of Defence (Australia)
7318,Simon & Schuster(Australia)
7322,CollinsAustralia
7325,University of Melbourne
7326,Monash University
7327,Mimosa Publications; Shortland Publications (New Zealand)
7329,Macmillanof Australia
7333,ABC Books (Australian Broadcasting Corporation)
7339,Addison Wesley; Longman;Pearson; Prentice Hall (Australia)
7340,University of Melbourne
7347,Art Gallery of New South Wales
7354,American Institute of Physics
7355,Aspen Publishers
7356,Microsoft Press
7357,New Riders Press
7358,North-South
7360,Human Kinetics
7368,Bridgestone Books
7369,Harvest House Publishers
7375,Biblical Studies Press
7377,Greenhaven Press
7382,Perseus Books
7385,Arcadia Publishing
7386,Research & Education Association
7388,Xlibris Corporation
7389,Sony Wonder
7391,Lexington Books
7399,Rod and Staff Publishers
7407,Andrews McMeel Publishing
7414,Infinity Publishing
7425,Rowman & Littlefield
7432,Simon & Schuster, Scribner
7433,Clocktower Books[1](formerly Clocktower Fiction)
7434,Pocket Books
7445,Walker Books
7448,Ark Paperbacks
7449,Adamantine Press
7450,Wheatsheaf; Harvester Wheatsheaf
7451,Cherrytree Press; Chivers Press
7453,Pluto Press
7456,Polity Press
7458,Ellis Horwood
7459,Lion Publishing
7460,Usborne Publications
7462,MTP Press
7463,Northcote House
7464,Business and Technology Education Council
7465,Oriental University Press
7466,Harcourt Brace Jovanovich(Educational)
7470,Christopher Helm Publishers
7471,Harrap-Columbus
7472,Headline
7474,Sphere Books
7475,Bloomsbury Publishing
7478,Shire Publications
7480,HMSO: Scottish Office
7483,A. T. Foulks Lynch
7484,Taylor and Francis
7486,Edinburgh University Press
7487,Stanley Thornes
7488,Improvement and Development Agency(UK)
7490,Allison & Busby
7491,Pearson Education
7492,Open University Press
7493,Mandarin Publishing
7494,Kogan Page
7495,The Automobile Association(AA)
7496,Gloucester Press
7497,Mammoth
7498,Egmont World
7499,Piatkus
7500,Simon & Schuster
7501,Simon & Schuster
7502,Wayland
7503,Adam Hilger
7504,National Assembly for Wales
7506,Butterworth-Heinemann, Architectural Press
7507,Falmer Press
7509,Sutton Publishing
7512,Gregg Revivals
7513,Dorling Kindersley
7514,BlackieAcademic & Professional
7515,Warner Books
7517,BPP Publishing
7518,British Geological Survey
7520,LongmanLaw
